id,domain_name,is_malicious,first_seen,last_seen,organization_id
1,upxvion.info,1,,,1
2,nexnxky.info,1,,,1
3,martkartout.info,1,,,1
4,marshmellowflowerscar.info,1,,,1
5,cornfieldblue.info,1,,,1
6,dropmicis.info,1,,,1
7,bloomwpp.info,1,,,1
8,o.mailsupportdesk.center,1,,,1
9,r.mailsupportdesk.center,1,,,1
10,www.mailsupportdesk.center,1,,,1
11,mangaraws1.plankopin.world,1,,,1
12,www.beta.plankopin.world,1,,,1
13,queenbcandles.plankopin.world,1,,,1
14,www.plankopin.world,1,,,1
15,www.jizyajan.shop,1,,,1
16,www.webmailchat.com,1,,,1
17,mail.nfinx.info,1,,,1
18,ns2.nfinx.info,1,,,1
19,www.ns2.nfinx.info,1,,,1
20,www.nfinx.info,1,,,1
21,ww99.mailerservice.directory,1,,,1
22,pemgowww.o.mailerservice.directory,1,,,1
23,ww7.mailerservice.directory,1,,,1
24,mail.mailerservice.directory,1,,,1
25,image.googlmail.cloud,1,,,1
26,mailcentre.googlmail.cloud,1,,,1
27,www.googlmail.cloud,1,,,1
28,m.googlmail.cloud,1,,,1
29,img.oyf9er.m0sina.com,1,,,1
30,www.m0sina.com,1,,,1
31,cpcontacts.m0sina.com,1,,,1
32,webmail.m0sina.com,1,,,1
33,www.android-cloud.net,1,,,1
34,www.xjtu-edu-cn.com,1,,,1
35,mail.xjtu-edu-cn.com,1,,,1
36,webmail.xjtu-edu-cn.com,1,,,1
37,rnail.xjtu-edu-cn.com,1,,,1
38,ns2.login-verifiction.com,1,,,1
39,mail.ebeijingcn.live,1,,,1
40,d0h43k4g06409t0ge8bg.ebeijingcn.live,1,,,1
41,d0hnmd4g0648ujo3qfi0.ebeijingcn.live,1,,,1
42,www.ebeijingcn.live,1,,,1
43,xxx.saicgovcn.xyz,1,,,1
44,ww12.saicgovcn.xyz,1,,,1
45,openvpn.saicgovcn.xyz,1,,,1
46,ww1.saicgovcn.xyz,1,,,1
47,hostmaster.hostmaster.hostmaster.ns1.voguextra.com,1,,,1
48,taikang.com.voguextra.com,1,,,1
49,mail.voguextra.com,1,,,1
50,www.voguextra.com,1,,,1
51,ns2.techwach.com,1,,,1
52,ns1.techwach.com,1,,,1
53,wwww.techwach.com,1,,,1
54,www.techwach.com,1,,,1
55,mail.authloginservice.com,1,,,1
56,webdisk.authloginservice.com,1,,,1
57,cpcontacts.authloginservice.com,1,,,1
58,cpanel.authloginservice.com,1,,,1
59,1m0.mail.sina.com.cn.vip.classic.asd389sd.webinfojsp.com,1,,,1
60,upgsrv.mail.nudt.edu.cn.coremailxt5.webinfojsp.com,1,,,1
61,www.mail12.gov.in.s3dfw34sfg.webinfojsp.com,1,,,1
62,zhmail.powerchinaa-intlll.coom.hl.cn.webinfojsp.com,1,,,1
63,box470.wordupdate.com,1,,,1
64,alfin2100.wordupdate.com,1,,,1
65,sajjad0.wordupdate.com,1,,,1
66,los40.wordupdate.com,1,,,1
67,upgrade.mail.coscon.authowaclassicmail.com,1,,,1
68,upgrade.mail.yicai.com.authowaclassicmail.com,1,,,1
69,upgrade.mail.sass.org.cn.authowaclassicmail.com,1,,,1
70,m0.mail.sina.com.cn.classic.index.php.authowaclassicmail.com,1,,,1
71,authsmtp.newstodayreviews.com,1,,,1
72,nmx2.newstodayreviews.com,1,,,1
73,www.newstodayreviews.com,1,,,1
74,mail.newstodayreviews.com,1,,,1
75,www.adhath-learning.com,1,,,1
76,cdrcb.com.authowawebmailgo.com,1,,,1
77,wwww.authowawebmailgo.com,1,,,1
78,www.authowawebmailgo.com,1,,,1
79,mail.firstout.org,1,,,1
80,webmail.firstout.org,1,,,1
81,status.firstout.org,1,,,1
82,www.firstout.org,1,,,1
83,www.login.czec.com.cn.jspsessionidrtgpdjifcnikrs.logonindexjsp.com,1,,,1
84,maill.163.com.logonindexjsp.com,1,,,1
85,www.logonindexjsp.com,1,,,1
86,auth.hhwebmail.login.mail.163.com.logonindexjsp.com,1,,,1
87,www.mfone.net,1,,,1
88,ruba-bakkour-facebook.blogspot.com,1,,,2
89,bashalalassad1sea.noip.me,1,,,2
90,facebook.blogspot.com,1,,,2
91,faccebookaccunt.blogspot.com,1,,,2
92,download-telegram.vercel.app,1,,,2
93,download-revo.vercel.app,1,,,2
94,chat.guardz.ru,1,,,2
95,chatsafe.tecnova.com.br,1,,,2
96,chatmode.us.to,1,,,2
97,chat.queerline.de,1,,,2
98,295.yao.cl,1,,,2
99,secureonline.info.tm,1,,,2
100,sex17.us.to,1,,,2
101,privatehd.us.to,1,,,2
102,chatsecure.uk.to,1,,,2
103,shamiamouhesni.mm.my,1,,,2
104,encryptit.qc.to,1,,,2
105,telegram.strangled.net,1,,,2
106,chatsecurelite.uk.to,1,,,2
107,android.nard.ca,1,,,2
108,basharalassad1sea.noip.me,1,,,2
109,telgram.strangled.net,1,,,2
110,chatsecurelite.us.to,1,,,2
111,www.orange2015.net,1,,,3
112,www.accountslogin.services,1,,,3
113,gombos.ru,1,,,3
114,humut.su,1,,,3
115,cudenpower.co,1,,,3
116,bomes.ru,1,,,3
117,deapproved.ru,1,,,3
118,orange2015.net,1,,,3
119,imagenil.com,1,,,3
120,www.imagenil.com,1,,,3
121,www.adobe-flashviewer.accountslogin.services,1,,,3
122,accountslogin.services,1,,,3
123,www.blueberry2017.com,1,,,3
124,infopicked.com,1,,,4
125,ngp1.infopicked.com,1,,,4
126,www.ru-id21387192837.com,1,,,4
127,p411324.infopicked.com,1,,,4
128,p25433.infopicked.com,1,,,4
129,p374865.infopicked.com,1,,,4
130,p102226.infopicked.com,1,,,4
131,ngp4.infopicked.com,1,,,4
132,p321539.infopicked.com,1,,,4
133,p340910.infopicked.com,1,,,4
134,p131675.infopicked.com,1,,,4
135,p420231.infopicked.com,1,,,4
136,p376122.infopicked.com,1,,,4
137,p397008.infopicked.com,1,,,4
138,p265797.infopicked.com,1,,,4
139,p424846.infopicked.com,1,,,4
140,p381245.infopicked.com,1,,,4
141,p389666.infopicked.com,1,,,4
142,p421832.infopicked.com,1,,,4
143,p421218.infopicked.com,1,,,4
144,p291922.infopicked.com,1,,,4
145,p394129.infopicked.com,1,,,4
146,p417936.infopicked.com,1,,,4
147,p330242.infopicked.com,1,,,4
148,p309496.infopicked.com,1,,,4
149,p52929.infopicked.com,1,,,4
150,p377843.infopicked.com,1,,,4
151,p245721.infopicked.com,1,,,4
152,p400089.infopicked.com,1,,,4
153,p328123.infopicked.com,1,,,4
154,p277439.infopicked.com,1,,,4
155,p368417.infopicked.com,1,,,4
156,p329076.infopicked.com,1,,,4
157,p421803.infopicked.com,1,,,4
158,p230710.infopicked.com,1,,,4
159,p178775.infopicked.com,1,,,4
160,p377977.infopicked.com,1,,,4
161,p251644.infopicked.com,1,,,4
162,p220333.infopicked.com,1,,,4
163,avg99.does-it.net,1,,,4
164,webmail.rhubarb2.com,1,,,5
165,bkmall.rhubarb2.com,1,,,5
